zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate
60439,23373,0.06026495137453097,92926.0,0.9559320583579344,0.2701096043098644,0.08508266765744009,0.28651928912006935,0.11022354325345222
60440,53285,0.0572717806317251,69680.0,0.8649526133058084,0.24917550058892815,0.08374558303886925,0.21204358068315665,0.09060659599528857
60441,35556,0.0681160183186819,73785.0,0.8704297446281921,0.3120407729878955,0.09071989806753027,0.17128902102357188,0.09844977702272245
60442,10226,0.07050487156775907,84458.0,0.9653823586935263,0.3107176433719837,0.09260419931056095,0.20839862112190535,0.09714822939517392
60443,21297,0.13605328892589508,72336.0,0.8973564351786637,0.2516182344029748,0.08800440710645917,0.18833494009089657,0.1478446494973144
60444,1778,0.057569296375266525,71705.0,0.889763779527559,0.3958333333333333,0.1171875,0.13541666666666666,0.058159722222222224
60445,26201,0.09161916824994723,58037.0,0.915842906759284,0.334482398412201,0.1016922594797869,0.14483443016818134,0.05442390055364045
60446,40018,0.059126686656671666,71042.0,0.9059923034634415,0.2579468254633901,0.07875534680868909,0.2004529061477816,0.05866812043948671
60447,14334,0.06479282132488784,73182.0,0.9646993163108692,0.2884961728950923,0.10862224223322828,0.19326879783881135,0.1089599279603782
60448,25604,0.05201996035272404,96654.0,0.9709420403062021,0.2637318020996462,0.09605011310248826,0.23815323937126617,0.15115132532915723
60449,9187,0.051540399147452044,76648.0,0.9378469576575595,0.3188976377952756,0.10887341005451241,0.18140520896426407,0.07934585099939431
60450,20736,0.07946764393866332,65062.0,0.9304591049382716,0.37091638981173863,0.07295127353266888,0.13946566998892582,0.0727436323366556
60451,34921,0.05831710566772574,101580.0,0.9624581197560207,0.2540649515711969,0.09199281237673665,0.25380198974448875,0.1256080992242626
60452,28494,0.07315591201847126,75018.0,0.9201235347792518,0.3222097301717089,0.09024938675388389,0.17871013900245297,0.08846075224856909
60453,56791,0.08790979327625809,58652.0,0.9042453909950521,0.3120202697667486,0.09573490324664033,0.17855279827110812,0.0935489480090419
60455,16421,0.10764944275582573,52568.0,0.8423969307593935,0.38639862356243776,0.08014126596033687,0.1106583355972109,0.043557004437200036
60456,4343,0.07048458149779736,42383.0,0.9159567119502648,0.3435374149659864,0.05875077303648732,0.12987012987012986,0.061224489795918366
